Make,Model,Year,Color,Status
Ford,F-150,2022,Black Matte,New
2020,Toyota,Camry,Used,Supersonic Red
"2021 Honda CR-V, Crystal Black Pearl, Certified Pre-Owned"
Chevrolet,Silverado,2019,Silver,Used
2023,New,Blue,Tesla,Model 3
"Subaru Outback, 2017","Color: Wilderness Green, Status: Used"
"Well-maintained 2016 Jeep Wrangler in Granite Crystal Metallic (Used)"
BMW,X5,2020,White,CPO
"2024 Ford Mustang Race Red New"
Nissan,Rogue,2018,Gun Metallic,Used
"ID: XYZ987, Car is a Kia Telluride from 2022. It is Dark Moss and CPO."
Hyundai,Elantra,used,2019,phantom black
Lexus,RX 350,2023,"Nori Green Pearl",New
"Mercedes-Benz","GLC 300",2021,Polar White,Used
"Year: 2015, Make: Audi, Model: Q5, Status: CPO, Color: Moonlight Blue"